Date,Open,High,Low,Close,Adj Close,Volume
2017/11/29,2905.33,2914.07,2855.85,2893.28,36005237,50246701056.00
2017/11/30,2878.53,2895.53,2850.31,2863.45,35802178,51612041216.00
2017/12/01,2861.90,2867.11,2834.26,2842.18,30789844,45681946624.00
2017/12/04,2829.81,2868.29,2823.94,2861.36,26911901,42169176064.00
2017/12/05,2852.82,2922.33,2851.32,2910.48,59599972,78760353792.00
2017/12/06,2897.23,2897.23,2845.13,2875.73,31693883,46136991744.00
2017/12/07,2868.20,2875.74,2828.23,2848.89,27940527,39788412928.00
2017/12/08,2843.20,2872.82,2832.80,2865.34,25364927,37958647808.00
2017/12/11,2862.61,2900.17,2857.98,2899.10,28687751,44155351040.00
2017/12/12,2897.66,2900.27,2849.39,2850.20,26086531,36558524416.00
2017/12/13,2850.47,2879.41,2834.93,2872.94,22381649,33848004608.00
2017/12/14,2874.95,2878.32,2841.92,2850.05,22766719,32316889088.00
2017/12/15,2844.10,2846.52,2817.32,2820.17,26667418,35570708480.00
2017/12/18,2821.42,2842.81,2815.82,2829.06,20702573,29731950592.00
2017/12/19,2829.55,2873.60,2827.44,2873.03,23789168,38584553472.00
2017/12/20,2874.05,2887.23,2861.54,2879.64,28458123,41956966400.00
2017/12/21,2871.68,2906.81,2862.23,2895.37,25781561,38962106368.00
2017/12/22,2891.72,2897.03,2876.02,2880.77,18956880,27835326464.00
2017/12/25,2882.28,2915.61,2868.86,2880.10,26314099,39860539392.00
2017/12/26,2878.75,2897.62,2868.60,2894.34,27001023,37479219200.00
2017/12/27,2886.70,2889.31,2832.02,2839.63,32138676,45980786688.00
2017/12/28,2842.73,2870.89,2829.54,2859.05,34351482,51738562560.00
2017/12/29,2861.92,2876.19,2849.68,2860.44,28631400,40451477504.00
2018/01/02,2867.53,2912.27,2867.53,2908.73,54008668,63411515392.00
2018/01/03,2914.28,2947.63,2906.60,2913.26,48206865,69339660288.00
2018/01/04,2918.26,2934.15,2910.66,2919.48,43520711,59071713280.00
2018/01/05,2926.78,2940.18,2920.08,2932.36,49943348,62492266496.00
2018/01/08,2933.82,2952.34,2926.87,2947.76,58052793,82070568960.00
2018/01/09,2947.55,2972.43,2947.12,2969.32,40589034,60495806464.00
2018/01/10,2968.34,2999.75,2966.18,2995.56,57763850,72207515648.00
2018/01/11,2986.79,3009.99,2981.33,2997.05,42351821,56280150016.00
2018/01/12,2997.90,3019.70,2993.56,3018.60,38168296,55328489472.00
2018/01/15,3027.20,3070.94,3022.47,3048.81,64988821,89764585472.00
2018/01/16,3041.36,3065.19,3035.77,3063.86,64262468,87195148288.00
2018/01/17,3071.50,3132.99,3060.22,3076.18,91066330,119155712000.00
2018/01/18,3096.20,3125.86,3084.28,3106.55,87706926,111974244352.00
2018/01/19,3122.67,3145.99,3100.41,3117.82,94955302,117995225088.00
2018/01/22,3104.96,3144.85,3104.40,3130.33,77465852,96853999616.00
2018/01/23,3145.11,3177.76,3144.28,3176.50,101691899,120507375616.00
2018/01/24,3189.77,3202.47,3150.55,3180.33,99130667,125182320640.00
2018/01/25,3171.35,3177.41,3124.46,3157.46,77363976,97574387712.00
2018/01/26,3147.48,3195.07,3147.48,3172.78,82164637,94465286144.00
2018/01/29,3184.30,3197.84,3107.96,3120.70,72920214,96641916928.00
2018/01/30,3109.19,3127.75,3077.31,3079.12,54275944,69473845248.00
2018/01/31,3063.23,3118.76,3062.53,3116.83,55607397,72990261248.00
