Date,Open,High,Low,Close,Adj Close,Volume
2017/04/24,6282.33,6282.74,6137.92,6138.50,6138.50,70771368
2017/04/25,6139.48,6203.68,6131.95,6160.46,6160.46,64657729
2017/04/26,6159.89,6195.32,6157.40,6176.40,6176.40,69746029
2017/04/27,6157.52,6205.23,6052.88,6192.30,6192.30,89357789
2017/04/28,6174.14,6214.16,6166.80,6211.86,6211.86,66769167
2017/05/02,6205.10,6216.50,6186.17,6216.12,6216.12,70289003
2017/05/03,6205.68,6225.63,6174.69,6197.48,6197.48,72475447
2017/05/04,6180.03,6236.89,6151.81,6176.31,6176.31,77413513
2017/05/05,6155.20,6164.25,6089.09,6089.68,6089.68,71551996
2017/05/08,6076.46,6083.36,5975.22,5975.54,5975.54,67182555
2017/05/09,5953.84,6012.44,5919.60,6012.00,6012.00,54726993
2017/05/10,6010.73,6038.97,5885.52,5885.84,5885.84,62645660
2017/05/11,5856.41,5873.91,5731.48,5872.64,5872.64,73054314
2017/05/12,5859.34,5889.93,5820.29,5863.78,5863.78,56685628
2017/05/15,5880.70,5912.27,5880.70,5893.51,5893.51,49725933
2017/05/16,5882.33,6014.88,5839.22,6014.73,6014.73,73426616
2017/05/17,6006.47,6055.92,6001.04,6027.65,6027.65,73146909
2017/05/18,5983.35,6030.11,5965.35,5976.30,5976.30,60062125
2017/05/19,5973.77,5990.44,5942.61,5974.98,5974.98,55068152
2017/05/22,5962.29,5987.31,5873.04,5888.81,5888.81,60894139
2017/05/23,5879.56,5893.82,5760.32,5764.88,5764.88,64918647
2017/05/24,5740.44,5799.68,5668.72,5799.25,5799.25,58130847
2017/05/25,5788.56,5859.50,5740.80,5850.80,5850.80,70683957
2017/05/26,5843.52,5871.21,5833.09,5836.93,5836.93,59256199
2017/05/31,5887.94,5913.18,5820.21,5824.10,5824.10,58477769
2017/06/01,5810.42,5810.60,5709.69,5710.00,5710.00,60278905
2017/06/02,5696.83,5780.50,5655.76,5772.52,5772.52,58868847
2017/06/05,5778.19,5830.05,5777.95,5815.80,5815.80,54333292
2017/06/06,5808.97,5841.88,5793.44,5841.52,5841.52,48781500
2017/06/07,5838.88,5955.02,5836.44,5955.02,5955.02,74666059
2017/06/08,5947.98,5972.73,5940.72,5958.98,5958.98,66506547
2017/06/09,5952.41,5971.52,5922.73,5969.27,5969.27,62109874
2017/06/12,5943.64,5950.04,5896.40,5902.86,5902.86,60359675
2017/06/13,5895.47,5986.87,5894.23,5980.06,5980.06,60424169
2017/06/14,5976.01,5992.78,5958.20,5966.43,5966.43,60926963
2017/06/15,5959.47,6024.38,5959.19,6021.17,6021.17,64991110
2017/06/16,6016.97,6027.40,6003.26,6013.00,6013.00,56912596
2017/06/19,6010.94,6057.41,6009.22,6057.41,6057.41,59231585
2017/06/20,6061.11,6089.81,6058.69,6066.90,6066.90,66122408
2017/06/21,6074.61,6080.53,6035.27,6078.19,6078.19,56730429
2017/06/22,6074.37,6094.55,5992.33,5992.33,5992.33,69225641
2017/06/23,5978.24,6010.31,5923.55,6010.31,6010.31,63505124
2017/06/26,6013.48,6111.71,6011.86,6111.64,6111.64,69846178
2017/06/27,6109.37,6128.38,6089.68,6113.17,6113.17,62316849
2017/06/28,6102.23,6110.35,6075.14,6086.21,6086.21,60479482
2017/06/29,6089.92,6132.25,6089.92,6116.99,6116.99,58035289
2017/06/30,6101.36,6139.07,6090.25,6138.16,6138.16,53521223
2017/07/03,6142.17,6177.40,6129.84,6177.40,6177.40,63825322
2017/07/04,6169.03,6170.85,6134.88,6146.85,6146.85,63114196
2017/07/05,6135.71,6193.96,6127.51,6193.96,6193.96,68621638
2017/07/06,6187.43,6211.97,6149.93,6201.65,6201.65,82871814
2017/07/07,6182.45,6229.83,6176.74,6226.01,6226.01,79328307
2017/07/10,6221.53,6236.29,6189.00,6206.56,6206.56,90370999
